price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_spaces,servant_quarters,store_rooms,kitchens,drawing_rooms,listing_url
40 Crore,1,Kanal,Islamabad,F-8,House,Bathrooms: 9,Servant Quarters: 2,2025,5,2,2,2,,https://www.zameen.com/Property/islamabad_f-8_brand_new_house_available_for_sale-53153128-166-1.html
30 Crore,2,Kanal,Islamabad,F-8,House,Bathrooms: 6,Servant Quarters: 2,2024,5,2,1,3,,https://www.zameen.com/Property/islamabad_f-8_magnificent_10-bed_residence_in_prime_f-8_location_-_cda_transfer-49706464-166-1.html
22 Crore,1,Kanal,Islamabad,F-8,House,Bathrooms: 4,Servant Quarters: 1,2024,1,1,1,1,,https://www.zameen.com/Property/islamabad_f-8_demolishable_house_available_for_sale-50149107-166-1.html
2.9 Crore,8,Marla,Islamabad,,House,,,,Flooring,,,,,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_a_8_marla_new_house_for_sale_in_a_block_faisal_town_phase-1-53667794-16416-1.html
2.8 Crore,5,Marla,Islamabad,,House,Bathrooms: 5,Servant Quarters: 1,,Central Air Conditioning,1,Steam Room,2,,https://www.zameen.com/Property/faisal_town_phase_1_faisal_town_phase_1_-_block_c_5_marla_brand_new_house_for_sale_in_c_block_faisal_town_phase-1-53624340-16418-1.html
2.85 Crore,10,Marla,Islamabad,,House,Bathrooms,Servant Quarters,,Lobby in Building,Drawing Room,Steam Room,Study Room,,https://www.zameen.com/Property/dha_phase_5_sector_h_askari_heights_4_askari_heights_4_flat_for_sale-48203804-21450-1.html
2.5 Crore,5,Marla,Islamabad,,House,,,,,,,,,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_-_block_f_sale_a_house_in_islamabad_prime_location-54357201-8527-1.html
59 Lakh,2.4,Marla,Islamabad,"Top City 1, IslamabadInstallmentsPKR69 Thousand/month112.4 Marla",House,1,Drawing Room,2026,Double Glazed Windows,,,,,https://www.zameen.com/Property/islamabad_top_city_1_550_square_feet_1_bed_apartment_available_for_sale_on_4_5_years_easy_instalment_plan-54309935-1383-1.html
13.5 Crore,14.2,Marla,Islamabad,"G-11, Islamabad9714.2 Marla",House,Bathrooms: 9,Servant Quarters: 1,2016,5,1,1,3,,https://www.zameen.com/Property/islamabad_g-11_luxury_triple_storey_house_40x80_for_sale_in_g-11_2_islamabad-54249820-168-1.html
1.2 Crore,5,Marla,Islamabad,Tarnol,House,,,,,,,,,https://www.zameen.com/Property/islamabad_tarnol_5_marla_25x50_residential_house_available_in_tarnol_1_crore_20_lakh-54282195-8121-1.html
